match_id,inning,batting_team,bowling_team,over,ball,batsman,bowler,wide_runs,bye_runs,legbye_runs,noball_runs,total_runs,extra_runs,player_dismissed,dismissal_kind
1202243,1,Sri Lanka,India,1,1,Danushka Gunathilaka,Jasprit Bumrah,2,0,0,0,2,2,,
1202243,1,Sri Lanka,India,1,2,Avishka Fernando,Jasprit Bumrah,0,0,0,0,4,0,,
1202243,1,Sri Lanka,India,1,3,Avishka Fernando,Jasprit Bumrah,0,0,0,0,0,0,,
1202243,1,Sri Lanka,India,1,4,Avishka Fernando,Jasprit Bumrah,0,0,0,0,1,0,,
1202243,1,Sri Lanka,India,1,5,Danushka Gunathilaka,Jasprit Bumrah,0,0,0,0,0,0,,
1202243,1,Sri Lanka,India,1,6,Danushka Gunathilaka,Jasprit Bumrah,0,0,0,0,0,0,,
1202243,1,Sri Lanka,India,1,7,Danushka Gunathilaka,Jasprit Bumrah,0,0,0,0,0,0,,
1202243,1,Sri Lanka,India,2,1,Avishka Fernando,Shardul Thakur,0,0,0,0,0,0,,
1202243,1,Sri Lanka,India,2,2,Avishka Fernando,Shardul Thakur,0,0,0,0,0,0,,
1202243,1,Sri Lanka,India,2,3,Avishka Fernando,Shardul Thakur,0,0,0,0,0,0,,
1202243,1,Sri Lanka,India,2,4,Avishka Fernando,Shardul Thakur,0,0,0,0,4,0,,
1202243,1,Sri Lanka,India,2,5,Avishka Fernando,Shardul Thakur,1,0,0,0,1,1,,
1202243,1,Sri Lanka,India,2,6,Avishka Fernando,Shardul Thakur,0,0,0,0,0,0,,
1202243,1,Sri Lanka,India,2,7,Avishka Fernando,Shardul Thakur,0,0,0,0,0,0,,
1202243,1,Sri Lanka,India,3,1,Danushka Gunathilaka,Navdeep Saini,1,0,0,0,1,1,,
1202243,1,Sri Lanka,India,3,2,Danushka Gunathilaka,Navdeep Saini,0,0,0,0,0,0,,
1202243,1,Sri Lanka,India,3,3,Danushka Gunathilaka,Navdeep Saini,0,0,0,0,0,0,,
1202243,1,Sri Lanka,India,3,4,Danushka Gunathilaka,Navdeep Saini,0,0,0,0,1,0,,
1202243,1,Sri Lanka,India,3,5,Avishka Fernando,Navdeep Saini,0,0,0,0,4,0,,
1202243,1,Sri Lanka,India,3,6,Avishka Fernando,Navdeep Saini,0,0,0,0,0,0,,
1202243,1,Sri Lanka,India,3,7,Avishka Fernando,Navdeep Saini,0,0,0,0,4,0,,
1202243,1,Sri Lanka,India,4,1,Danushka Gunathilaka,Jasprit Bumrah,0,0,0,0,4,0,,
1202243,1,Sri Lanka,India,4,2,Danushka Gunathilaka,Jasprit Bumrah,0,0,0,0,0,0,,
1202243,1,Sri Lanka,India,4,3,Danushka Gunathilaka,Jasprit Bumrah,0,0,0,0,0,0,,
1202243,1,Sri Lanka,India,4,4,Danushka Gunathilaka,Jasprit Bumrah,0,0,0,0,1,0,,
