,bowler
0,SN Khan
1,L Livingstone
2,I Sodhi
3,YS Chahal
4,V Chakravarthy
5,Imran Tahir
6,P R Barman
7,MK Tiwary
8,S Gopal
9,R Parag
10,KC Cariappa
11,Rashid Khan
12,M Ashwin
13,PP Chawla
14,S Midhun
15,KV Sharma
16,M Markande
17,A Mishra
18,S Lamichhane
19,R Tewatia
20,RD Chahar
21,SS Agarwal
22,Ankit Soni
23,Tejas Baroka
24,A Zampa
25,S Badree
