match_id,inning,batting_team,bowling_team,over,ball,batsman,bowler,wide_runs,bye_runs,legbye_runs,noball_runs,total_runs,extra_runs,player_dismissed,dismissal_kind
1122285,1,India,South Africa,1,1,Rohit Sharma,Dane Paterson,0,0,0,0,0,0,,
1122285,1,India,South Africa,1,2,Rohit Sharma,Dane Paterson,0,0,0,0,6,0,,
1122285,1,India,South Africa,1,3,Rohit Sharma,Dane Paterson,0,0,0,0,1,0,,
1122285,1,India,South Africa,1,4,Shikhar Dhawan,Dane Paterson,0,0,0,0,1,0,,
1122285,1,India,South Africa,1,5,Rohit Sharma,Dane Paterson,0,0,0,0,6,0,,
1122285,1,India,South Africa,1,6,Rohit Sharma,Dane Paterson,0,0,0,0,4,0,,
1122285,1,India,South Africa,2,1,Shikhar Dhawan,Junior Dala,0,0,0,0,1,0,,
1122285,1,India,South Africa,2,2,Rohit Sharma,Junior Dala,0,0,0,0,4,0,,
1122285,1,India,South Africa,2,3,Rohit Sharma,Junior Dala,0,0,0,0,0,0,,
1122285,1,India,South Africa,2,4,Rohit Sharma,Junior Dala,0,0,0,0,0,0,,
1122285,1,India,South Africa,2,5,Rohit Sharma,Junior Dala,0,0,0,0,0,0,Rohit Sharma,caught
1122285,1,India,South Africa,2,6,Suresh Raina,Junior Dala,1,0,0,0,1,1,,
1122285,1,India,South Africa,2,7,Suresh Raina,Junior Dala,0,0,0,0,0,0,,
1122285,1,India,South Africa,3,1,Shikhar Dhawan,Dane Paterson,0,0,0,0,0,0,,
1122285,1,India,South Africa,3,2,Shikhar Dhawan,Dane Paterson,0,0,0,0,1,0,,
1122285,1,India,South Africa,3,3,Suresh Raina,Dane Paterson,0,0,0,0,1,0,,
1122285,1,India,South Africa,3,4,Shikhar Dhawan,Dane Paterson,0,0,0,0,1,0,,
1122285,1,India,South Africa,3,5,Suresh Raina,Dane Paterson,0,0,0,0,6,0,,
1122285,1,India,South Africa,3,6,Suresh Raina,Dane Paterson,0,0,0,0,4,0,,
1122285,1,India,South Africa,4,1,Shikhar Dhawan,Junior Dala,0,0,0,0,6,0,,
1122285,1,India,South Africa,4,2,Shikhar Dhawan,Junior Dala,0,0,0,0,0,0,,
1122285,1,India,South Africa,4,3,Shikhar Dhawan,Junior Dala,1,0,0,0,1,1,,
1122285,1,India,South Africa,4,4,Shikhar Dhawan,Junior Dala,0,0,0,0,1,0,,
1122285,1,India,South Africa,4,5,Suresh Raina,Junior Dala,0,0,0,0,0,0,,
1122285,1,India,South Africa,4,6,Suresh Raina,Junior Dala,0,0,0,0,4,0,,
1122285,1,India,South Africa,4,7,Suresh Raina,Junior Dala,0,0,0,0,0,0,Suresh Raina,caught
1122285,1,India,South Africa,5,1,Virat Kohli,Chris Morris,0,0,0,0,0,0,,
1122285,1,India,South Africa,5,2,Virat Kohli,Chris Morris,0,0,0,0,0,0,,
1122285,1,India,South Africa,5,3,Virat Kohli,Chris Morris,0,0,0,0,2,0,,
1122285,1,India,South Africa,5,4,Virat Kohli,Chris Morris,0,0,0,0,1,0,,
1122285,1,India,South Africa,5,5,Shikhar Dhawan,Chris Morris,0,0,0,0,4,0,,
1122285,1,India,South Africa,5,6,Shikhar Dhawan,Chris Morris,0,0,0,0,4,0,,
1122285,1,India,South Africa,6,1,Virat Kohli,Junior Dala,0,0,0,0,4,0,,
1122285,1,India,South Africa,6,2,Virat Kohli,Junior Dala,0,0,0,0,1,0,,
1122285,1,India,South Africa,6,3,Shikhar Dhawan,Junior Dala,0,0,0,0,1,0,,
1122285,1,India,South Africa,6,4,Virat Kohli,Junior Dala,0,0,0,0,1,0,,
1122285,1,India,South Africa,6,5,Shikhar Dhawan,Junior Dala,0,0,0,0,6,0,,
1122285,1,India,South Africa,6,6,Shikhar Dhawan,Junior Dala,1,0,0,0,1,1,,
1122285,1,India,South Africa,6,7,Shikhar Dhawan,Junior Dala,0,0,0,0,4,0,,
1122285,1,India,South Africa,7,1,Virat Kohli,Chris Morris,0,0,0,0,0,0,,
1122285,1,India,South Africa,7,2,Virat Kohli,Chris Morris,1,0,0,0,1,1,,
1122285,1,India,South Africa,7,3,Virat Kohli,Chris Morris,0,0,0,0,0,0,,
1122285,1,India,South Africa,7,4,Virat Kohli,Chris Morris,0,0,0,0,0,0,,
1122285,1,India,South Africa,7,5,Virat Kohli,Chris Morris,0,0,0,0,1,0,,
1122285,1,India,South Africa,7,6,Shikhar Dhawan,Chris Morris,0,0,0,0,0,0,,
1122285,1,India,South Africa,7,7,Shikhar Dhawan,Chris Morris,0,0,0,0,4,0,,
1122285,1,India,South Africa,8,1,Virat Kohli,Tabraiz Shamsi,0,0,0,0,0,0,,
1122285,1,India,South Africa,8,2,Virat Kohli,Tabraiz Shamsi,0,0,0,0,4,0,,
1122285,1,India,South Africa,8,3,Virat Kohli,Tabraiz Shamsi,0,0,0,0,2,0,,
1122285,1,India,South Africa,8,4,Virat Kohli,Tabraiz Shamsi,0,0,0,0,6,0,,
1122285,1,India,South Africa,8,5,Virat Kohli,Tabraiz Shamsi,0,0,0,0,1,0,,
1122285,1,India,South Africa,8,6,Shikhar Dhawan,Tabraiz Shamsi,0,0,0,0,1,0,,
1122285,1,India,South Africa,9,1,Shikhar Dhawan,JJ Smuts,0,0,0,0,1,0,,
1122285,1,India,South Africa,9,2,Virat Kohli,JJ Smuts,0,0,0,0,1,0,,
1122285,1,India,South Africa,9,3,Shikhar Dhawan,JJ Smuts,0,0,0,0,0,0,,
1122285,1,India,South Africa,9,4,Shikhar Dhawan,JJ Smuts,0,0,0,0,4,0,,
1122285,1,India,South Africa,9,5,Shikhar Dhawan,JJ Smuts,0,0,0,0,1,0,,
1122285,1,India,South Africa,9,6,Virat Kohli,JJ Smuts,0,0,0,0,1,0,,
1122285,1,India,South Africa,10,1,Virat Kohli,Tabraiz Shamsi,0,0,0,0,1,0,,
1122285,1,India,South Africa,10,2,Shikhar Dhawan,Tabraiz Shamsi,0,0,0,0,1,0,,
1122285,1,India,South Africa,10,3,Virat Kohli,Tabraiz Shamsi,0,0,0,0,0,0,Virat Kohli,leg before wicket
1122285,1,India,South Africa,10,4,Manish Pandey,Tabraiz Shamsi,0,0,0,0,1,0,,
1122285,1,India,South Africa,10,5,Shikhar Dhawan,Tabraiz Shamsi,0,0,0,0,0,0,,
1122285,1,India,South Africa,10,6,Shikhar Dhawan,Tabraiz Shamsi,0,0,0,0,1,0,,
1122285,1,India,South Africa,11,1,Shikhar Dhawan,JJ Smuts,0,0,0,0,1,0,,
1122285,1,India,South Africa,11,2,Manish Pandey,JJ Smuts,0,0,0,0,0,0,,
1122285,1,India,South Africa,11,3,Manish Pandey,JJ Smuts,0,0,0,0,1,0,,
1122285,1,India,South Africa,11,4,Shikhar Dhawan,JJ Smuts,0,0,0,0,2,0,,
1122285,1,India,South Africa,11,5,Shikhar Dhawan,JJ Smuts,0,0,0,0,1,0,,
1122285,1,India,South Africa,11,6,Manish Pandey,JJ Smuts,0,0,0,0,1,0,,
1122285,1,India,South Africa,12,1,Manish Pandey,Tabraiz Shamsi,0,0,0,0,6,0,,
1122285,1,India,South Africa,12,2,Manish Pandey,Tabraiz Shamsi,0,0,0,0,1,0,,
1122285,1,India,South Africa,12,3,Shikhar Dhawan,Tabraiz Shamsi,0,0,0,0,4,0,,
1122285,1,India,South Africa,12,4,Shikhar Dhawan,Tabraiz Shamsi,0,0,0,0,1,0,,
1122285,1,India,South Africa,12,5,Manish Pandey,Tabraiz Shamsi,0,0,0,0,0,0,,
1122285,1,India,South Africa,12,6,Manish Pandey,Tabraiz Shamsi,0,0,0,0,0,0,,
1122285,1,India,South Africa,13,1,Shikhar Dhawan,Andile Phehlukwayo,0,0,0,0,0,0,,
1122285,1,India,South Africa,13,2,Shikhar Dhawan,Andile Phehlukwayo,0,0,0,0,4,0,,
1122285,1,India,South Africa,13,3,Shikhar Dhawan,Andile Phehlukwayo,0,0,2,0,2,2,,
1122285,1,India,South Africa,13,4,Shikhar Dhawan,Andile Phehlukwayo,0,0,0,0,2,0,,
1122285,1,India,South Africa,13,5,Shikhar Dhawan,Andile Phehlukwayo,0,0,0,0,1,0,,
1122285,1,India,South Africa,13,6,Manish Pandey,Andile Phehlukwayo,0,0,0,0,1,0,,
